#=======Menu Item=======#
0x01	Têp
0x02	Mới
0x03	Mở
0x04	Lưu
0x05	Lưu Như
0x0e	Mở Gần Đây
0x0f	Xóa Lịch Sử
0x11	Thoát

0x15	Cửa Sổ
0x16	Trang chủ
0x17	Chỉnh Sửa Hình Ảnh
0x18	Chỉnh Sửa Dữ Liệu
0x19	Soạn Thảo Mã
0x1a	Chỉnh Sửa Bộ Bài
0x1b	Chỉnh Sửa BanList
0x1c	Chỉnh Sửa Items
0x1d	Hỗ Trợ Tập Lệnh

0x25	Cài Đặt
0x26	Cấu Hình

0x31	Thẻ
0x32	Sao Chép Thẻ
0x33	Dán Thẻ
0x34	Lưu Thẻ

0x45	Dữ Liệu
0x46	Xuất dữ liệu
0x47	Xuất dạng zip
0x48	Xuất dạng CEDS
0x49	Xuất dạng Excel

0x55	Quản lý

0x6a	Giúp đỡ
0x6b	Kiểm tra Mã
0x6c	Kiểm tra Cập nhật

0x81	Cắt
0x82	Sao Chép
0x83	Dán
0x84	Chuyển sang Full Width
0x85	Chuyển sang Half Width
0x86	Chuyển sang SuperScript
0x87	Chuyển từ SuperScript
0x88	Chuyển sang SubScript
0x89	Chuyển từ SubScript
0x8a	Ký tự Đặc Biệt

#=======Button=======#
0x101	Đồng Ý
0x102	Hủy Bỏ
0x103	Có
0x104	Không
0x105	Tải
0x106	Áp Dụng
0x107	Thêm
0x108	Thêm Nó, Éo Quan Tâm
0x109	Sửa
0x10a	Tạo
0x10b	Chèn
0x10c	Làm Sạch
0x10d	Xóa
0x10e	Đặt lại
0x10f	Làm mới
0x110	Thay Thế
0x111	Đổi tên
0x112	Tải Lại
0x113	Tải Lên
0x114	Cập Nhật
0x115	Gỡ Bỏ
0x116	Khôi phục
0x117	Xem trước

0x121	Đọc
0x122	Ghi
0x123	Nhập

0x124	Hoàn Tác
0x125	Hoàn tác hành động cuối cùng để khôi phục trạng thái trước đó. Chuột phải để làm lại.
0x126	Tìm kiếm/Lọc Thẻ trong danh sách bằng dữ liệu trên giao diện. Chuột phải để mở menu.
0x127	Xóa Bộ Lọc

0x12a	Tập Lệnh
0x12b	Duyệt
0x12c	Trộn Thẻ
0x12d	YDKE

0x12e	Không Lưu
0x12f	Sao chép thông tin

#=======Config=======#
0x201	Cài đặt người dùng
0x202	Tên người dùng
0x203	Ngôn Ngữ
0x204	Nguồn Dữ Liệu
0x205	Trò chơi
0x206	Trình Duyệt

0x211	Cài đặt Hiển thị
0x212	Màu Nền
0x213	Màu Chữ
0x214	Chủ Đề
0x215	Font Chữ
0x216	Cỡ Chữ
0x217	Tô Sáng
0x218	Hướng hiển thị
0x219	Trái sang Phải
0x21a	Phải sang Trái
0x21b	Căn chỉnh văn bản
0x21c	Căn trái
0x21d	Căn phải
0x21e	Căn đều hai bên
0x21f	Căn giữa
0x220	Ngắt dòng
0x221	Gấp mã

0x22a	Sắp xếp
0x22b	Cài đặt Sắp xếp
0x22c	Sắp xếp theo
0x22d	Thứ tự
0x22e	Tăng dần
0x22f	Giảm dần

0x235	Xử lý dữ liệu
0x236	Chế độ ghi
0x237	Hỏi tôi
0x238	Ghi đè trùng
0x239	Ghi đè hết
0x23a	Ghi nối
0x23b	Tạo mới
0x23c	Bỏ qua

0x23e	Chế độ lọc
0x23f	Thuần AND
0x240	Thuần OR
0x241	Hỗn hợp AND-OR
0x242	Hỗn hợp OR-AND

0x243	Xác nhận làm trống
0x244	Xác nhận xóa
0x245	Xác nhận đặt lại
0x246	Xác nhận tải lại

0x249	Cài đặt hình ảnh
0x24a	Thư mục tải xuống
0x24b	Card Maker
0x24c	Kích Thước Ảnh
0x24d	Kích Thước Tem
0x24e	Vị Trí Tem
0x24f	Căn Lề Tem

0x251	Trên-Trái
0x252	Trên-Phải
0x253	Dưới-Trái
0x254	Dưới-Phải
0x255	Giữa
0x256	Không rõ

0x258	Cài đặt viết mã

0x25a	Cài đặt bộ bài
0x25b	Giới hạn bộ bài chính
0x25c	Giới hạn bộ bài phụ
0x25d	Giới hạn bộ bài bên

0x265	Định dạng mở rộng
0x266	Chế độ danh sách thẻ
0x267	Chế độ lưới thẻ
0x268	Hiện ID/Phạm vi
0x269	Hiện Nguyên mẫu
0x26a	Hiện điểm Genesys
0x26b	Hiện ảnh phạm vi
0x26c	Ritual đặt Extra
0x26d	Lưu tên thẻ
0x26e	Bỏ giới hạn Deck
0x26f	Bỏ giới hạn Card

0x275	Item tối đa
0x277	Tự động tìm
0x278	Cho phép lưu
0x279	Cho phép tạo

#=======Filter=======#
0x301	Lọc Thẻ

0x302	Các Thẻ đã chọn
0x303	Các Thẻ hiển thị
0x304	Toàn bộ Thẻ
0x305	Bộ bài đã chọn
0x306	Độ hiếm đã chọn
0x307	Danh sách cấm đã chọn

0x30a	Các Thẻ hiện đang được chọn trong danh sách.
0x30b	Các Thẻ đang hiển thị (sau khi áp dụng bộ lọc) trong danh sách.
0x30c	Toàn bộ các Thẻ trong danh sách.

0x310	Các Thẻ trùng lặp
0x311	Các Thẻ khác biệt

0x312	Bằng tệp CDB
0x313	Bằng tệp YDK
0x314	Bằng Ngôn ngữ
0x315	Bằng Ngôn ngữ đao động

0x316	Đường dẫn tệp Lọc

0x317	Bao gồm ngôn ngữ
0x318	Loại trừ ngôn ngữ

#=======Create Image=======#
0x321	Tạo ảnh
0x322	Tạo hình ảnh Thẻ, Sử dụng dữ liệu từ danh sách Thẻ. Chuột phải để mở hộp thoại cài đặt.
0x323	Chọn Ảnh
0x324	Chọn một hình ảnh thẻ có sẵn. Chuột phải để mở hộp thoại cài đặt.
0x325	Chọn Artwork
0x326	Chọn một hình ảnh Artwork có sẵn.

0x327	Thư mục hình ảnh gốc
0x328	Thư mục Artwork
0x329	Thư mục xuất
0x32a	Loạt
0x32b	Thường
0x32c	Vàng
0x32d	Bạch Kim
0x32e	Bí Mật
0x32f	Gồm Độ Hiếm
0x330	Kiểu Name
0x331	Kiểu Effect
0x332	Nền Ảnh ArtWork
0x333	Lớp Phủ
0x334	Tràn Viền

0x335	Vị trí ArtWork FullArt
0x336	Mờ Đục
0x337	Trong suốt

0x33a	{0} hình ảnh tạo thất bại
0x33b	Danh sách ID thất bại:
0x33c	Danh sách ID trùng lặp:

#=======Items Editor=======#
0x351	Cài đặt lọc
0x352	Nâng cao
0x353	Khác hoa/thường
0x354	Khớp tiền tố
0x355	Khớp hậu tố
0x356	Dùng ký tự đại diện
0x357	Từ hoàn chỉnh
0x358	Bỏ qua ký tự dấu câu
0x359	Bỏ qua ký tự khoảng trắng

0x361	Thay thế Văn Bản
0x362	Tìm
0x363	Tìm gì
0x364	Tìm tiếp
0x365	Tìm trước
0x366	Tìm tất cả
0x367	Thay thế với
0x368	Thay thế tiếp
0x369	Thay thế tất cả

0x36a	Thay thế Trường
0x36b	Đường dẫn tệp thay thế
0x36c	Thêm Thẻ mới

0x36d	Import dữ liệu
0x36e	Đường dẫn tệp Import
0x36f	Chọn các trường để ghi đè

0x371	Ngôn ngữ Dao Động
0x372	{0} Thẻ đổi Ngôn ngữ Dao Động thất bại. 
0x373	{0} Thẻ thiếu Mô tả.
0x374	{0} Thẻ Sử dụng quy tắc dự phòng EDOPro.

0x375	Nhóm Credit
0x376	Tên Credit
0x377	Mô tả Credit

#=======Rarity=======#
0x381	Độ hiếm
0x382	Quản lý độ hiếm
0x383	Mở cửa sổ Quản lý Độ hiếm.
0x384	Quản lý danh sách độ hiếm
0x385	Quản lý danh sách thẻ hiếm
0x386	STT
0x387	Tên độ hiếm
0x388	Mã
0x389	Đường dẫn hình ảnh

#=======Genesys=======#
0x391	Genesys
0x392	Quản lý Genesys
0x393	Mở cửa sổ Quản lý Genesys.
0x394	Điểm Genesys

#=======About=======#
0x39a	Thông tin
0x39b	Phiên bản:
0x39c	Được tạo bởi:

#=======Pendulum Language=======#
0x3a1	Hiệu ứng Dao động
0x3a2	Hiệu ứng Quái vật
0x3a3	Mô tả Thẻ
0x3a4	Thẻ thường

#=======Tooltip=======#
0x501	Tạo một tệp ZIP mới.
0x502	Lưu tất cả các Thẻ trong danh sách vào tệp Cơ Sở Dữ Liệu Thẻ gốc.
0x503	Lưu tất cả các Thẻ trong danh sách vào tệp CardEditorSet gốc.
0x504	Lưu tất cả các Thẻ trong danh sách vào tệp Excel gốc.
0x505	Lưu tất cả các thẻ vào tệp Cơ Sở Dữ Liệu Thẻ mới.

0x50a	Mở Cửa Sổ Hỗ Trợ Tập Lệnh.

0x511	Sao chép các Thẻ vào Bảng nhớ tạm.
0x512	Dán Các Thẻ từ Bảng nhớ tạm vào danh sách.

0x51a	Lọc và hiển thị các Thẻ trong danh sách sử dụng tệp Cơ Sở Dữ Liệu Thẻ.
0x51b	Lọc và hiển thị trong danh sách các Thẻ CÓ XUẤT HIỆN trong Cơ Sở Dữ Liệu Thẻ được chọn.
0x51c	Lọc và hiển thị trong danh sách các Thẻ KHÔNG XUẤT HIỆN trong Cơ Sở Dữ Liệu Thẻ được chọn.

0x51d	Lọc và hiển thị các Thẻ trong danh sách sử dụng tệp Bộ Bài.
